URL,Size(Bytes),# of OutLinks,Content Type
nytimes.com/2024/09/26/opinion/kamala-harris-context-trump.html,336138,127,text/html
nytimes.com/interactive/2024/02/22/crosswords/puzzle-personality.html,212668,122,text/html
nytimes.com/2024/10/01/world/middleeast/israel-tel-aviv-shooting.html,329243,117,text/html
nytimes.com/2024/10/02/us/politics/israel-iran.html,371338,127,text/html
nytimes.com/2024/08/07/opinion/walz-vance-mountain-dew.html,249724,108,text/html
nytimes.com/2017/09/04/upshot/is-houston-still-a-model-city-its-supporters-arent-backing-down.html,300368,125,text/html
nytimes.com/1997/04/27/tv/buffy-is-sweet-16-and-slaying-vampires.html,264597,121,text/html
nytimes.com/2024/10/01/arts/television/october-streaming-movies-shows.html,357019,120,text/html
nytimes.com/interactive/2021/01/29/us/oath-keepers-capitol-riot.html,353679,108,text/html
nytimes.com/interactive/2024/10/02/us/trump-j6-sco-immunity-brief.html,775658,272,text/html
nytimes.com/2024/09/15/nyregion/eric-adams-scandal-crisis.html,341557,127,text/html
nytimes.com/2023/05/24/us/politics/china-guam-malware-cyber-microsoft.html,284313,114,text/html
nytimes.com/2016/12/01/movies/jackie-review-natalie-portman.html,394408,134,text/html
nytimes.com/2024/09/13/world/europe/putin-warning-nato-missiles.html,285513,116,text/html
nytimes.com/2024/10/03/us/politics/secret-service-staffing-retention-hiring.html,424331,129,text/html
nytimes.com/2024/09/19/theater/atri-banerjee-look-back-in-anger.html,306282,114,text/html
nytimes.com/2024/09/30/world/europe/russia-attacks-east-ukraine-kursk.html,322026,134,text/html
nytimes.com/2006/10/02/arts/television/02ligh.html,282326,121,text/html
nytimes.com/2024/02/22/business/china-leaked-files.html,322302,112,text/html
nytimes.com/2024/10/02/us/politics/takeaways-jack-smith-trump-brief.html,350779,118,text/html
nytimes.com/2016/12/27/movies/review-20th-century-women.html,349338,128,text/html
nytimes.com/2024/09/26/arts/television/freaks-and-geeks-25th-anniversary.html,359214,123,text/html
nytimes.com/2019/07/24/movies/once-upon-a-time-in-hollywood-review.html,340373,133,text/html
nytimes.com/2007/10/13/nyregion/13suburb.html,282222,106,text/html
nytimes.com/2024/10/02/opinion/vance-walz-debate-scorecard.html,362771,124,text/html
nytimes.com/2022/08/16/business/biden-climate-tax-inflation-reduction.html,325834,110,text/html
nytimes.com/2024/10/01/world/middleeast/iran-ballistic-missiles-israel-assassinations.html,351932,132,text/html
nytimes.com/interactive/2024/04/27/upshot/upshot-ten-years.html,610582,254,text/html
nytimes.com/2023/03/17/movies/rye-lane.html,311062,129,text/html
nytimes.com/2024/10/03/movies/the-outrun-review.html,317223,128,text/html
nytimes.com/2005/12/09/movies/riding-the-high-country-finding-and-losing-love.html,252794,106,text/html
nytimes.com/2022/01/05/us/politics/jan-6-capitol-deaths.html,297470,129,text/html
